title,show_type,episodes,premiered,studios,source,genres,theme,age_rating,score,ranking,popularity_rank
Hikaru no Go,TV,75,Fall 2001,Pierrot,Manga,"Comedy, Supernatural",Strategy Game,PG-13 - Teens 13 or older,8.081,4742,1459
Hololive Alternative,ONA,2,Spring 2021,Hololive Production,Mixed media,,Music,G - All Ages,8.081,4752,6157
Initial D Fifth Stage,TV,14,Fall 2012,SynergySP,Manga,"Action, Drama",Racing,PG-13 - Teens 13 or older,8.081,4762,1493
Kamisama Kiss,TV,13,Fall 2012,TMS Entertainment,Manga,"Comedy, Fantasy, Romance, Supernatural",Mythology,PG-13 - Teens 13 or older,8.081,4772,313
Teasing Master Takagi-san 2,TV,12,Summer 2019,Shin-Ei Animation,Manga,Comedy,"Iyashikei, Romantic Subtext, School",PG-13 - Teens 13 or older,8.081,4782,692
Ghost in the Shell: Stand Alone Complex - The Laughing Man,Special,1,Fall 2005,Production I.G,Manga,"Action, Mystery, Sci-Fi","Adult Cast, Detective, Mecha, Psychological",R - 17+ (violence & profanity),8.081,4792,3131
Kuroko's Basketball,TV,25,Spring 2012,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.081,4802,108
Kuroko's Basketball the Movie: Last Game,Movie,1,Spring 2017,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.081,4812,786
Black Butler: Book of Circus,TV,10,Summer 2014,A-1 Pictures,Manga,"Action, Comedy, Mystery, Supernatural","Historical, Mythology",R - 17+ (violence & profanity),8.081,4822,515
Angel Beats!,TV,13,Spring 2010,P.A. Works,Original,"Drama, Supernatural",School,PG-13 - Teens 13 or older,8.071,4832,27
Ao Ashi,TV,24,Spring 2022,Production I.G,Manga,Sports,Team Sports,PG-13 - Teens 13 or older,8.071,4842,1758
Darker than Black,TV,25,Spring 2007,Bones,Original,"Action, Mystery, Sci-Fi",Super Power,R - 17+ (violence & profanity),8.071,4852,155
Detective Conan Movie 08: Magician of the Silver Sky,Movie,1,Spring 2004,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,PG-13 - Teens 13 or older,8.071,4862,2652
Doraemon: Nobita and the Steel Troops - The New Age,Movie,1,Spring 2011,Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy",Mecha,PG - Children,8.071,4872,5373
Dorohedoro,TV,12,Winter 2020,MAPPA,Manga,"Action, Comedy, Fantasy, Horror",Gore,R - 17+ (violence & profanity),8.071,4882,413
Douluo Dalu: Haishen Zhi Guang,ONA,13,Winter 2021,Sparkly Key Animation Studio,Novel,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts",PG-13 - Teens 13 or older,8.071,4892,7204
Durarara!!x2 Ketsu,TV,12,Winter 2016,Shuka,Light novel,"Action, Mystery, Supernatural",,R - 17+ (violence & profanity),8.071,4902,544
Legend of the Galactic Heroes Gaiden (1999),OVA,28,Winter 2000,"Artland, Magic Bus",Novel,"Action, Drama, Sci-Fi","Adult Cast, Military, Space",R - 17+ (violence & profanity),8.071,4912,4426
Gintama: Dai Hanseikai,Special,1,Spring 2010,Sunrise,Manga,"Action, Comedy","Parody, Samurai",PG-13 - Teens 13 or older,8.071,4922,3285
Girls und Panzer das Finale – Part 2,Movie,1,Summer 2019,Actas,Original,,"Military, School",PG-13 - Teens 13 or older,8.071,4932,3615
Glass Mask,TV,51,Spring 2005,Tokyo Movie Shinsha,Manga,Drama,"Performing Arts, Showbiz",G - All Ages,8.071,4942,3215
Black Butler: Book of Murder,OVA,2,Winter 2015,A-1 Pictures,Manga,"Action, Comedy, Mystery, Supernatural","Historical, Mythology",R - 17+ (violence & profanity),8.071,4952,901
The Ancient Magus' Bride,TV,24,Fall 2017,Wit Studio,Manga,"Fantasy, Slice of Life",,PG-13 - Teens 13 or older,8.071,4962,180
Serial Experiments Lain,TV,13,Summer 1998,Triangle Staff,Original,"Avant Garde, Drama, Mystery, Sci-Fi, Supernatural",Psychological,R - 17+ (violence & profanity),8.071,4972,254
KenIchi: The Mightiest Disciple,TV,50,Fall 2006,TMS Entertainment,Manga,"Action, Comedy","Martial Arts, School",PG-13 - Teens 13 or older,8.071,4982,715
When Marnie Was There,Movie,1,Summer 2014,Studio Ghibli,Novel,"Drama, Mystery",Psychological,G - All Ages,8.061,4992,781
City Hunter 2,TV,63,Spring 1988,Sunrise,Manga,"Action, Comedy, Mystery",,PG-13 - Teens 13 or older,8.061,5002,3953
Den-noh Coil,TV,26,Spring 2007,Madhouse,Original,"Adventure, Comedy, Drama, Mystery, Sci-Fi",,G - All Ages,8.061,5012,1392
Gosick,TV,24,Winter 2011,Bones,Light novel,"Drama, Mystery, Romance",Historical,R - 17+ (violence & profanity),8.061,5022,366
Kodocha,TV,102,Spring 1996,Gallop,Manga,"Comedy, Drama, Romance","Love Polygon, Showbiz",PG-13 - Teens 13 or older,8.061,5032,2426
Eureka Seven,TV,50,Spring 2005,Bones,Original,"Adventure, Drama, Romance, Sci-Fi",Mecha,PG-13 - Teens 13 or older,8.061,5042,451
Kyou kara Ore wa!!,OVA,10,Spring 1993,Pierrot,Manga,Comedy,Delinquents,R - 17+ (violence & profanity),8.061,5052,3550
Fate/stay night: Unlimited Blade Works - Prologue,Special,1,Fall 2014,ufotable,Visual novel,"Action, Fantasy, Supernatural",,PG-13 - Teens 13 or older,8.051,5062,678
xxxHOLiC: Shunmuki,OVA,2,Winter 2009,Production I.G,Manga,"Comedy, Drama, Mystery, Supernatural",Psychological,PG-13 - Teens 13 or older,8.051,5072,2307
Mobile Suit Gundam: Iron-Blooded Orphans,TV,25,Fall 2015,Sunrise,Original,"Action, Drama, Sci-Fi","Mecha, Space",R - 17+ (violence & profanity),8.041,5082,964
Paprika,Movie,1,Fall 2006,Madhouse,Novel,"Avant Garde, Fantasy, Horror, Mystery, Sci-Fi, Suspense","Adult Cast, Psychological",R+ - Mild Nudity,8.041,5092,393
Saint Seiya: The Hades Chapter - Sanctuary,OVA,13,Fall 2002,Toei Animation,Manga,"Adventure, Sci-Fi",,PG-13 - Teens 13 or older,8.041,5102,2615
Summer Wars,Movie,1,Summer 2009,Madhouse,Original,"Comedy, Sci-Fi",,PG-13 - Teens 13 or older,8.041,5112,378
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,Fall 2016,feel.,Light novel,"Comedy, Romance","Love Polygon, School",PG-13 - Teens 13 or older,8.041,5122,919
Call of the Night,TV,13,Summer 2022,LIDENFILMS,Manga,"Romance, Supernatural",Vampire,PG-13 - Teens 13 or older,8.041,5132,865
BanG Dream! 3rd Season,TV,13,Winter 2020,SANZIGEN,Other,,Music,PG-13 - Teens 13 or older,8.041,5142,3480
Detective Conan Movie 10: Requiem of the Detectives,Movie,1,Spring 2006,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,PG-13 - Teens 13 or older,8.041,5152,2675
Full Metal Panic? Fumoffu,TV,12,Summer 2003,Kyoto Animation,Light novel,"Action, Comedy","Gag Humor, School",PG-13 - Teens 13 or older,8.041,5162,716
The Garden of Sinners Chapter 3: Remaining Sense of Pain,Movie,1,Winter 2008,ufotable,Light novel,"Action, Drama, Mystery, Supernatural, Suspense",,R+ - Mild Nudity,8.041,5172,949
Kill la Kill,TV,24,Fall 2013,Trigger,Original,"Action, Comedy, Ecchi","School, Super Power",PG-13 - Teens 13 or older,8.041,5182,50
KonoSuba: God's Blessing on This Wonderful World! 2 - God's Blessing on This Wonderful Art!,OVA,1,Summer 2017,Studio Deen,Light novel,"Adventure, Comedy, Fantasy","Isekai, Parody, Reincarnation",PG-13 - Teens 13 or older,8.041,5192,599
Yona of the Dawn,TV,24,Fall 2014,Pierrot,Manga,"Action, Adventure, Comedy, Fantasy, Romance",,PG-13 - Teens 13 or older,8.031,5202,196
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,Movie,1,Summer 2021,SANZIGEN,Original,,Music,PG-13 - Teens 13 or older,8.031,5212,6990
Black Lagoon,TV,12,Spring 2006,Madhouse,Manga,Action,"Adult Cast, Organized Crime",R - 17+ (violence & profanity),8.031,5222,150
Black Lagoon: Roberta's Blood Trail,OVA,5,Summer 2010,Madhouse,Manga,Action,"Adult Cast, Organized Crime",R+ - Mild Nudity,8.031,5232,767
Case Closed Movie 3: The Last Wizard of the Century,Movie,1,Spring 1999,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,PG-13 - Teens 13 or older,8.031,5242,2435
Case Closed Movie 4: Captured In Her Eyes,Movie,1,Spring 2000,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,PG-13 - Teens 13 or older,8.031,5252,2523
Douluo Dalu: Hao Tian Yang Wei,ONA,13,Fall 2019,Sparkly Key Animation Studio,Novel,"Action, Adventure, Fantasy, Supernatural","Historical, Martial Arts",PG-13 - Teens 13 or older,8.031,5262,6238
Time of Eve,ONA,6,Summer 2008,Studio Rikka,Original,"Sci-Fi, Slice of Life",,PG-13 - Teens 13 or older,8.031,5272,1155
FLCL,OVA,6,Spring 2000,"Gainax, Production I.G",Original,"Action, Avant Garde, Comedy, Sci-Fi","Mecha, Parody, Psychological",PG-13 - Teens 13 or older,8.031,5282,212
Ginga Nagareboshi Gin,TV,21,Spring 1986,Toei Animation,Manga,"Action, Adventure, Drama",Anthropomorphic,PG-13 - Teens 13 or older,8.031,5292,3897
The Twelve Kingdoms,TV,45,Spring 2002,Pierrot,Novel,"Action, Adventure, Fantasy, Supernatural",Isekai,PG-13 - Teens 13 or older,8.031,5302,1412
Kamisama Hajimemashita OVA,OVA,2,Summer 2013,TMS Entertainment,Manga,"Comedy, Fantasy, Romance, Supernatural",Mythology,PG-13 - Teens 13 or older,8.031,5312,1581
Lovely Complex,TV,24,Spring 2007,Toei Animation,Manga,"Comedy, Romance",,PG-13 - Teens 13 or older,8.031,5322,344
Tales of Saiunkoku,TV,39,Spring 2007,Madhouse,Light novel,"Adventure, Comedy, Drama, Fantasy, Romance","Historical, Reverse Harem",PG-13 - Teens 13 or older,8.031,5332,3113
Food Wars! The Third Plate,TV,12,Fall 2017,J.C.Staff,Manga,"Gourmet, Ecchi",School,PG-13 - Teens 13 or older,8.031,5342,151
SK8 the Infinity,TV,12,Winter 2021,Bones,Original,Sports,,PG-13 - Teens 13 or older,8.031,5352,404
A Certain Scientific Railgun S,TV,24,Spring 2013,J.C.Staff,Manga,"Action, Sci-Fi",Super Power,R - 17+ (violence & profanity),8.031,5362,533
La Maison en Petits Cubes,Movie,1,Summer 2008,Oh! Production,Original,"Award Winning, Drama",,G - All Ages,8.031,5372,1906
Zombie Land Saga Revenge,TV,12,Spring 2021,MAPPA,Original,"Comedy, Supernatural","Idols (Female), Music",R - 17+ (violence & profanity),8.031,5382,1085
Magi: The Labyrinth of Magic,TV,25,Fall 2012,A-1 Pictures,Manga,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,8.021,5392,135
Heart and Yummie,Movie,1,Fall 2010,Ajia-Do,Picture book,"Action, Adventure, Fantasy",Childcare,G - All Ages,8.021,5402,4536
Persona 3 the Movie 4: Winter of Rebirth,Movie,1,Winter 2016,A-1 Pictures,Game,"Action, Fantasy, Supernatural",,R - 17+ (violence & profanity),8.021,5412,2338
Slayers Next,TV,26,Spring 1996,E&G Films,Light novel,"Adventure, Comedy, Fantasy",Mythology,PG-13 - Teens 13 or older,8.021,5422,2306
Sword Art Online the Movie: Progressive - Aria of a Starless Night,Movie,1,Fall 2021,A-1 Pictures,Light novel,"Action, Adventure, Fantasy",Video Game,PG-13 - Teens 13 or older,8.021,5432,1109
Tokyo Magnitude 8.0,TV,11,Summer 2009,"Bones, Kinema Citrus",Original,Drama,,PG-13 - Teens 13 or older,8.021,5442,722
Uma Musume: Pretty Derby (TV) Season 2,TV,13,Winter 2021,Studio Kai,Game,Sports,Anthropomorphic,PG-13 - Teens 13 or older,8.021,5452,3129
My Teen Romantic Comedy SNAFU,TV,13,Spring 2013,Brain's Base,Light novel,"Comedy, Romance","Love Polygon, School",PG-13 - Teens 13 or older,8.021,5462,82
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Movie,1,Summer 2017,Studio Gokumi,Light novel,"Drama, Fantasy, Slice of Life",Mahou Shoujo,PG-13 - Teens 13 or older,8.021,5472,5008
Baby Steps 2nd Season,TV,25,Spring 2015,Pierrot,Manga,Sports,School,PG-13 - Teens 13 or older,8.021,5482,1971
D.Gray-man,TV,103,Fall 2006,TMS Entertainment,Manga,"Action, Adventure, Comedy","Mythology, Super Power",PG-13 - Teens 13 or older,8.021,5492,257
Detective Conan Movie 15: Quarter of Silence,Movie,1,Spring 2011,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,G - All Ages,8.021,5502,2899
Golden Boy,OVA,6,Fall 1995,APPP,Manga,"Adventure, Comedy, Ecchi","Adult Cast, Gag Humor",R+ - Mild Nudity,8.021,5512,590
Honey and Clover,TV,24,Spring 2005,J.C.Staff,Manga,"Comedy, Drama, Romance, Slice of Life","Love Polygon, Visual Arts",PG-13 - Teens 13 or older,8.021,5522,804
The World God Only Knows: Goddesses,TV,12,Summer 2013,Manglobe,Manga,"Comedy, Romance, Supernatural","Harem, Otaku Culture",PG-13 - Teens 13 or older,8.021,5532,610
The Garden of Sinners: Future Gospel,Movie,1,Fall 2013,ufotable,Light novel,"Drama, Mystery, Supernatural",,R - 17+ (violence & profanity),8.021,5542,1710
Aria the OVA: Arietta,OVA,1,Fall 2007,Hal Film Maker,Manga,"Fantasy, Sci-Fi, Slice of Life",Iyashikei,G - All Ages,8.011,5552,3266
My Hero Academia: Heroes Rising,Movie,1,Winter 2020,Bones,Manga,Action,Super Power,PG-13 - Teens 13 or older,8.011,5562,385
Clannad,TV,23,Fall 2007,Kyoto Animation,Visual novel,"Drama, Romance, Supernatural",School,PG-13 - Teens 13 or older,8.011,5572,77
ef - a tale of melodies.,TV,12,Fall 2008,Shaft,Visual novel,"Drama, Mystery, Romance, Supernatural",,PG-13 - Teens 13 or older,8.011,5582,1251
Evangelion: 1.0 You Are (Not) Alone,Movie,1,Fall 2007,Khara,Original,"Action, Drama, Sci-Fi","Mecha, Psychological",PG-13 - Teens 13 or older,8.011,5592,368
Fullmetal Alchemist: Brotherhood OVA Collection,Special,4,Summer 2009,Bones,Manga,"Drama, Fantasy",Military,PG-13 - Teens 13 or older,8.011,5602,1326
Legend of the Galactic Heroes: The New Thesis - Stellar War Part 1,Movie,4,Fall 2019,Production I.G,Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",R - 17+ (violence & profanity),8.011,5612,3932
Haikyuu!! the Movie: The Winner and the Loser,Movie,1,Fall 2015,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.011,5622,2093
Hanada Shounen-shi,TV,25,Fall 2002,Madhouse,Manga,"Comedy, Drama, Slice of Life, Supernatural",,R - 17+ (violence & profanity),8.011,5632,4926
Ascendance of a Bookworm,TV,14,Fall 2019,Ajia-Do,Light novel,"Fantasy, Slice of Life","Isekai, Reincarnation",PG-13 - Teens 13 or older,8.011,5642,823
Maid Sama!,TV,26,Spring 2010,J.C.Staff,Manga,"Comedy, Romance",School,PG-13 - Teens 13 or older,8.011,5652,97
Komi Can't Communicate,TV,12,Fall 2021,OLM,4-koma manga,Comedy,"Romantic Subtext, School",PG-13 - Teens 13 or older,8.011,5662,237
Mobile Suit Gundam: The 08th MS Team,OVA,12,Winter 1996,Sunrise,Original,"Adventure, Drama, Romance, Sci-Fi","Mecha, Military",PG-13 - Teens 13 or older,8.011,5672,2147
Pui Pui Molcar,TV,12,Winter 2021,Shin-Ei Animation,Other,Comedy,"Anthropomorphic, Racing",G - All Ages,8.011,5682,5200
The Rising of the Shield Hero,TV,25,Winter 2019,Kinema Citrus,Light novel,"Action, Adventure, Drama, Fantasy",Isekai,PG-13 - Teens 13 or older,8.011,5692,73
Sleepy Princess in the Demon Castle,TV,12,Fall 2020,Doga Kobo,Manga,"Comedy, Fantasy",Mythology,PG-13 - Teens 13 or older,8.001,5702,1123
A Lull in the Sea,TV,26,Fall 2013,P.A. Works,Original,"Drama, Fantasy, Romance",,PG-13 - Teens 13 or older,8.001,5712,326
Touch,TV,101,Spring 1985,Group TAC,Manga,"Drama, Romance, Slice of Life, Sports","Love Polygon, School, Team Sports",PG-13 - Teens 13 or older,8.001,5722,3413
Wolf's Rain OVA,OVA,4,Winter 2004,Bones,Original,"Adventure, Drama, Sci-Fi, Supernatural",Psychological,PG-13 - Teens 13 or older,8.001,5732,2387
Time of Eve,Movie,1,Spring 2010,Studio Rikka,Original,"Sci-Fi, Slice of Life",,PG-13 - Teens 13 or older,8.001,5742,1546
Sound! Euphonium,TV,13,Spring 2015,Kyoto Animation,Novel,Drama,"Music, Performing Arts, School",PG-13 - Teens 13 or older,8.001,5752,452
Kakushigoto,TV,12,Spring 2020,Ajia-Do,Manga,"Comedy, Slice of Life","Childcare, Gag Humor, Otaku Culture",PG-13 - Teens 13 or older,8.001,5762,687
Kimi ni Todoke: From Me to You,TV,25,Fall 2009,Production I.G,Manga,"Drama, Romance, Slice of Life",School,PG-13 - Teens 13 or older,8.001,5772,172
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,Special,1,Winter 2006,Production I.G,Unknown,"Action, Sci-Fi","Adult Cast, Mecha",R - 17+ (violence & profanity),8.001,5782,3667
Love Live! Superstar!!,TV,12,Summer 2021,Sunrise,Other,Slice of Life,"Idols (Female), Music, School",PG-13 - Teens 13 or older,8.001,5792,2571
Code Geass: Lelouch of the Rebellion III - Glorification,Movie,1,Spring 2018,Sunrise,Original,"Action, Sci-Fi","Mecha, Military, School, Super Power",R - 17+ (violence & profanity),7.991,5802,2019
Battle Through the Heavens 4th Season,ONA,24,Spring 2021,Motion Magic,Novel,"Action, Adventure, Fantasy, Romance, Supernatural","Martial Arts, Mythology",PG-13 - Teens 13 or older,7.991,5812,8005
Durarara!!x2 Shou,TV,12,Winter 2015,Shuka,Light novel,"Action, Mystery, Supernatural",,R - 17+ (violence & profanity),7.991,5822,415
High Score Girl II,TV,9,Fall 2019,J.C.Staff,Manga,Comedy,"Love Polygon, Romantic Subtext, School, Video Game",PG-13 - Teens 13 or older,7.991,5832,1533
High Score Girl: Extra Stage,OVA,3,Spring 2019,J.C.Staff,Manga,Comedy,"Love Polygon, Romantic Subtext, School, Video Game",PG-13 - Teens 13 or older,7.991,5842,2300
Kimi ni Todoke: From Me to You Season 2,TV,12,Winter 2011,Production I.G,Manga,"Drama, Romance, Slice of Life",School,PG-13 - Teens 13 or older,7.991,5852,457
Miss Kobayashi's Dragon Maid,TV,13,Winter 2017,Kyoto Animation,Manga,"Fantasy, Slice of Life",,PG-13 - Teens 13 or older,7.991,5862,105
Ghost in the Shell 2.0,Movie,1,Summer 2008,Production I.G,Manga,"Action, Sci-Fi","Adult Cast, Detective, Mecha, Psychological",R+ - Mild Nudity,7.991,5872,1996
Major Movie: Yuujou no Winning Shot,Movie,1,Winter 2009,Xebec,Manga,"Action, Sports",Team Sports,PG-13 - Teens 13 or older,7.991,5882,4342
Big Windup! 2,TV,13,Spring 2010,A-1 Pictures,Manga,"Comedy, Sports",Team Sports,PG-13 - Teens 13 or older,7.991,5892,2964
ReLIFE,TV,13,Summer 2016,TMS Entertainment,Web manga,"Drama, Romance, Slice of Life",School,PG-13 - Teens 13 or older,7.991,5902,143
School Rumble: 2nd Semester,TV,26,Spring 2006,Studio Comet,Manga,"Comedy, Romance","Gag Humor, Love Polygon, School",PG-13 - Teens 13 or older,7.991,5912,1294
xxxHOLiC,TV,24,Spring 2006,Production I.G,Manga,"Comedy, Drama, Mystery, Supernatural",Psychological,PG-13 - Teens 13 or older,7.991,5922,681
Mushoku Tensei: Jobless Reincarnation - Eris the Goblin Slayer,Special,1,Spring 2022,Studio Bind,Light novel,"Drama, Fantasy, Ecchi","Isekai, Reincarnation",R - 17+ (violence & profanity),7.981,5932,1818
Samurai X: Reflection,OVA,2,Winter 2002,Studio Deen,Manga,"Drama, Romance","Historical, Samurai",R - 17+ (violence & profanity),7.981,5942,2066
Patema Inverted,Movie,1,Fall 2013,"Studio Rikka, Purple Cow Studio Japan",Original,"Adventure, Sci-Fi",,PG-13 - Teens 13 or older,7.981,5952,763
Food Wars! The Third Plate: Totsuki Train Arc,TV,12,Spring 2018,J.C.Staff,Manga,"Gourmet, Ecchi",School,PG-13 - Teens 13 or older,7.981,5962,259
All Saints Street,ONA,12,Spring 2020,"None found, add some",Web manga,"Comedy, Slice of Life, Supernatural",Mythology,PG-13 - Teens 13 or older,7.981,5972,4737
All Saints Street 2,ONA,12,Fall 2020,"None found, add some",Web manga,"Comedy, Slice of Life, Supernatural",Mythology,PG-13 - Teens 13 or older,7.981,5982,6383
Wagnaria!!3,TV,13,Summer 2015,A-1 Pictures,4-koma manga,"Comedy, Romance",Workplace,PG-13 - Teens 13 or older,7.981,5992,870
Snow White with the Red Hair 2,TV,12,Winter 2016,Bones,Manga,"Drama, Fantasy, Romance",,PG-13 - Teens 13 or older,7.981,6002,602
Aria the Origination Episode 5.5: That Little Secret Place…,Special,1,Summer 2008,Hal Film Maker,Manga,"Comedy, Slice of Life",Iyashikei,G - All Ages,7.981,6012,4226
Douluo Dalu: Shan Yu Yu Lai,ONA,13,Spring 2021,Sparkly Key Animation Studio,Novel,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts",PG-13 - Teens 13 or older,7.981,6022,7629
Durarara!!x2 Ten,TV,12,Summer 2015,Shuka,Light novel,"Action, Mystery, Supernatural",,R - 17+ (violence & profanity),7.981,6032,511
Azumanga Daioh: The Animation,TV,26,Spring 2002,J.C.Staff,4-koma manga,"Comedy, Slice of Life","CGDCT, Gag Humor, School",PG-13 - Teens 13 or older,7.971,6042,655
Detective Conan: The Bride of Halloween,Movie,1,Spring 2022,"None found, add some",Manga,Mystery,Detective,PG-13 - Teens 13 or older,7.971,6052,6414
Haibane Renmei,TV,13,Fall 2002,Radix,Other,"Drama, Fantasy, Mystery, Slice of Life",Psychological,PG-13 - Teens 13 or older,7.971,6062,795
Haikyu!! the Movie: The End and the Beginning,Movie,1,Summer 2015,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,7.971,6072,1993
Hyouge Mono,TV,39,Spring 2011,Bee Train,Manga,,"Adult Cast, Historical, Samurai, Visual Arts",R - 17+ (violence & profanity),7.971,6082,3813
IDOLiSH7 Vibrato,ONA,8,Winter 2018,TROYCA,Game,Drama,"Idols (Male), Music",PG-13 - Teens 13 or older,7.971,6092,5090
Magical Girl Lyrical Nanoha A's,TV,13,Fall 2005,Seven Arcs,Original,"Action, Comedy, Drama","Mahou Shoujo, Super Power",PG-13 - Teens 13 or older,7.971,6102,2398
Naruto,TV,220,Fall 2002,Pierrot,Manga,"Action, Adventure, Fantasy",Martial Arts,PG-13 - Teens 13 or older,7.971,6112,8
Promare,Movie,1,Spring 2019,Trigger,Original,"Action, Sci-Fi","Mecha, Super Power",PG-13 - Teens 13 or older,7.971,6122,822
Saint Seiya: The Lost Canvas,OVA,13,Summer 2009,TMS Entertainment,Manga,"Action, Adventure, Supernatural","Martial Arts, Super Power",PG-13 - Teens 13 or older,7.971,6132,1788
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,OVA,7,Spring 2008,M.S.C,Manga,Sports,,PG-13 - Teens 13 or older,7.971,6142,3327
Saga of Tanya the Evil,TV,12,Winter 2017,Nut,Light novel,Action,"Isekai, Military, Reincarnation",R - 17+ (violence & profanity),7.971,6152,179
"Yuri!!! On ICE: Yuri Plisetsky GPF in Barcelona EX ""Welcome to The Madness""",Special,1,Spring 2017,MAPPA,Original,Sports,Music,PG-13 - Teens 13 or older,7.971,6162,2124
Penguindrum,TV,24,Summer 2011,Brain's Base,Original,"Avant Garde, Comedy, Drama, Mystery",Psychological,R - 17+ (violence & profanity),7.961,6172,714
Noragami,TV,12,Winter 2014,Bones,Manga,"Action, Fantasy",Mythology,PG-13 - Teens 13 or older,7.961,6182,22
One Piece Film: Strong World Episode 0,OVA,1,,Toei Animation,Manga,"Adventure, Fantasy",,PG-13 - Teens 13 or older,7.961,6192,2097
Mr. Osomatsu,TV,25,Fall 2015,Pierrot,Original,Comedy,"Gag Humor, Parody",R - 17+ (violence & profanity),7.961,6202,1228
Phantom: Requiem for the Phantom,TV,26,Spring 2009,Bee Train,Visual novel,"Action, Drama, Suspense",Organized Crime,R+ - Mild Nudity,7.961,6212,625
The King's Avatar 2,ONA,12,Fall 2020,Colored Pencil Animation,Novel,Action,Video Game,PG-13 - Teens 13 or older,7.961,6222,1747
Tekkon Kinkreet,Movie,1,Winter 2007,Studio 4°C,Manga,"Action, Adventure, Supernatural",Psychological,R - 17+ (violence & profanity),7.961,6232,1764
Dragon Ball,TV,153,Winter 1986,Toei Animation,Manga,"Adventure, Comedy, Fantasy","Martial Arts, Super Power",PG-13 - Teens 13 or older,7.961,6242,144
Girls und Panzer das Finale – Part 1,Movie,1,Winter 2018,Actas,Original,,"Military, School",PG-13 - Teens 13 or older,7.961,6252,3012
Fist of the North Star,TV,109,Fall 1984,Toei Animation,Manga,"Action, Drama, Sci-Fi",Martial Arts,R - 17+ (violence & profanity),7.961,6262,1537
Uncle from Another World,TV,Unknown,Summer 2022,AtelierPontdarc,Manga,"Comedy, Fantasy",Isekai,PG-13 - Teens 13 or older,7.961,6272,1772
Kanon,TV,24,Fall 2006,Kyoto Animation,Visual novel,"Drama, Romance, Slice of Life, Supernatural",,PG-13 - Teens 13 or older,7.961,6282,785
Kingdom,TV,38,Summer 2012,Pierrot,Manga,Action,"Historical, Military",R - 17+ (violence & profanity),7.961,6292,1072
Kobato.,TV,24,Fall 2009,Madhouse,Manga,"Comedy, Drama, Fantasy, Romance",Iyashikei,PG-13 - Teens 13 or older,7.961,6302,1258
Macross F Movie 2: Sayonara no Tsubasa,Movie,1,Winter 2011,"Satelight, 8bit",Original,"Action, Romance, Sci-Fi","Mecha, Military, Music, Space",PG-13 - Teens 13 or older,7.961,6312,3800
Macross: Do You Remember Love?,Movie,1,Summer 1984,"Artland, Tatsunoko Production",Original,"Action, Romance, Sci-Fi","Mecha, Military, Music, Space",PG-13 - Teens 13 or older,7.961,6322,2933
Fate/kaleid liner Prisma Illya: Vow in the Snow,Movie,1,Summer 2017,SILVER LINK.,Manga,"Action, Fantasy",,PG-13 - Teens 13 or older,7.951,6332,1985
Hikaru no Go: Hokuto Hai e no Michi,Special,1,Winter 2004,Pierrot,Manga,,Strategy Game,G - All Ages,7.951,6342,4047
The File of Young Kindaichi,TV,148,Spring 1997,Toei Animation,Manga,Mystery,,R - 17+ (violence & profanity),7.951,6352,3722
Kokoro Connect OVA,Special,4,Fall 2012,SILVER LINK.,Light novel,"Drama, Romance, Supernatural",School,PG-13 - Teens 13 or older,7.951,6362,813
Porco Rosso,Movie,1,Summer 1992,Studio Ghibli,Manga,"Action, Adventure, Comedy, Drama, Romance","Historical, Military",G - All Ages,7.951,6372,934
Nura: Rise of the Yokai Clan - Demon Capital,TV,24,Summer 2011,Studio Deen,Manga,"Action, Supernatural",Mythology,PG-13 - Teens 13 or older,7.951,6382,1286
Treasure Island,TV,26,Fall 1978,"Madhouse, TMS Entertainment",Novel,"Adventure, Drama, Mystery",Historical,PG-13 - Teens 13 or older,7.951,6392,4493
Bunny Drop Specials,Special,4,Fall 2011,Production I.G,Manga,Slice of Life,"Childcare, Iyashikei",PG-13 - Teens 13 or older,7.951,6402,2288
Wotakoi: Love is Hard for Otaku,TV,11,Spring 2018,A-1 Pictures,Web manga,Romance,"Adult Cast, Otaku Culture, Workplace",PG-13 - Teens 13 or older,7.951,6412,167
